Machine_ID,Week_Start_Date,Scheduled_Hours,Actual_Uptime_Hours,Uptime_Percentage,Downtime_Reason,Downtime_Duration,Maintenance_Type,Machine_Location,Machine_Model,Operator_Shift,Last_Maintenance_Date,Number_of_Breakdowns,MTBF_Hours,MTTR_Hours,Energy_Consumption_kWh,Output_Quantity,Fixed_Cost_Per_Hour,Variable_Cost_Per_Unit,Energy_Cost_Per_kWh,Maintenance_Parts_Cost,Labor_Cost,Reject_Quantity,Cycle_Time_Per_Unit(hr),Setup_Time,Utilization_Rate,Breakdown_Type,Parts_Replaced,Maintenance_Cost_Type,Quantity_Sold,Fixed_Cost_Per_Unit,Head_On_Cost_Per_Unit,Operator_Shift.1,Selling_Price_Per_Unit,Fixed_Cost,Variable_Cost,Base_Cost,Head_On_Cost,Total_Cost_Per_Unit,Total_Revenue,DownTime_Time_Cost_hr,DownTime_Cost,Profit_margin(%),Net_Profit
MCH011,2025-05-13 00:00:00,168,169.79,95.0,Preventive Maintenance,-1.79,Scheduled,Plant A,TX-300,Morning,2025-05-04 00:00:00,3,56.6,1.35,4000.0,2200,70,12.17511563,0.12,1899,3395.8,17,0.077177273,1.560944305,101.0654762,Other,"Misc Part, Valve",Corrective,2183,5.345454545,3.778621989,Morning,25.8075803,11760,26785.25439,38545.25439,8312.968375,21.17714671,56776.67665,150,-268.5,17.94214541,10186.95389
MCH012,2025-05-13 00:00:00,168,168.73,97.0,Power Outage,-0.73,Scheduled,Plant C,TX-200,Evening,2025-05-03 00:00:00,3,168.73,3.62,3384.47,2300,60,13.45797152,0.12,1137,3374.6,10,0.07336087,3.234429962,100.4345238,Electrical,"Fuse, Capacitor",Corrective,2290,4.382608696,3.985222559,Evening,29.96226933,10080,30953.3345,41033.3345,9166.011886,21.77819408,68913.21945,150,-109.5,27.3146041,18823.37307
MCH013,2025-05-13 00:00:00,168,155.35,92.47,Preventive Maintenance,12.65,Scheduled,Plant B,TX-100,Night,2025-04-15 00:00:00,2,77.67,3.25,3724.87,1674,50,12.93563968,0.12,1183,3107.0,9,0.092801673,2.208293342,92.4702381,Electrical,"Contactor, Fuse",Corrective,1665,5.017921147,3.514078386,Night,29.20985664,8400,21654.26082,30054.26082,5882.567218,22.60115175,48897.30002,150,1897.5,22.62491381,11062.97199
MCH014,2025-05-13 00:00:00,168,148.2,88.22,Gearbox Failure,19.8,Emergency,Plant C,TX-200,Morning,2025-04-16 00:00:00,0,69.50297872,3.105957447,3070.37,2070,60,12.08504125,0.12,1400,2964.0,10,0.071594203,2.294327665,88.21428571,Mechanical,Shaft,Preventive,2060,4.869565217,3.168937461,Morning,24.77142367,10080,25016.03538,35096.03538,6559.700543,21.55832654,51276.84699,150,2970.0,12.97098292,6651.111066
MCH015,2025-05-13 00:00:00,168,153.98,91.66,Power Outage,14.02,Emergency,Plant C,TX-100,Morning,2025-04-18 00:00:00,3,51.33,2.26,3796.76,1652,50,13.47264322,0.12,1329,3079.6,5,0.093208232,1.709738333,91.6547619,Mechanical,Gear,Preventive,1647,5.084745763,3.471360465,Morning,27.09407318,8400,22256.80659,30656.80659,5734.687488,23.30175187,44759.40889,150,2103.0,13.99686673,6264.91481
MCH016,2025-05-13 00:00:00,168,134.21,79.89,Preventive Maintenance,33.79,Emergency,Plant C,TX-100,Evening,2025-04-12 00:00:00,2,67.11,4.32,3100.3,1727,50,10.98114213,0.12,1784,2684.2,9,0.077712797,2.974810412,79.88690476,Electrical,Fuse,Corrective,1718,4.863925883,3.391593789,Evening,23.05994853,8400,18964.43246,27364.43246,5857.282473,22.17151994,39824.53112,150,5068.5,3.852691151,1534.316186
MCH017,2025-05-13 00:00:00,168,150.68,89.69,Power Outage,17.32,Unscheduled,Plant C,TX-100,Night,2025-03-21 00:00:00,2,75.34,4.55,3104.93,2247,50,10.62936264,0.12,1507,3013.6,13,0.0670583,1.864567757,89.69047619,Software,HMI Panel,Corrective,2234,3.738317757,3.075418391,Night,24.40342696,8400,23884.17785,32284.17785,6910.465124,18.59930706,54834.50037,150,2598.0,23.78403617,13041.8574
MCH018,2025-05-13 00:00:00,168,143.0,85.12,Power Outage,25.0,Scheduled,Plant A,TX-200,Evening,2025-04-24 00:00:00,2,71.5,1.31,3190.32,2107,60,10.64160042,0.12,1851,2860.0,16,0.067869008,2.627930184,85.11904762,Mechanical,"Shaft, Gear",Preventive,2091,4.784053156,2.598439217,Evening,26.16556116,10080,22421.85209,32501.85209,5474.91143,19.80387447,55130.83736,150,3750.0,24.31320561,13404.07384
MCH019,2025-05-13 00:00:00,168,139.04,82.76,Preventive Maintenance,28.96,Scheduled,Plant B,TX-300,Morning,2025-04-23 00:00:00,3,46.35,2.16,2935.29,1881,70,11.33603551,0.12,1983,2780.8,14,0.073918129,3.181419972,82.76190476,Software,PLC Module,Preventive,1867,6.25199362,3.732269421,Morning,26.37336593,11760,21323.0828,33083.0828,7020.398781,23.62970844,49608.30132,150,4344.0,10.40313738,5160.819736
MCH020,2025-05-13 00:00:00,168,136.23,81.09,Gearbox Failure,31.77,Scheduled,Plant A,TX-200,Morning,2025-04-17 00:00:00,1,136.23,2.48,3211.89,1912,60,10.95476013,0.12,1068,2724.6,18,0.07125,1.678408657,81.08928571,Electrical,Capacitor,Preventive,1894,5.271966527,3.057750294,Morning,26.11769441,10080,20945.50136,31025.50136,5846.418562,21.77689326,49937.03171,150,4765.5,16.62015443,8299.61179
MCH021,2025-05-13 00:00:00,168,132.84,79.07,Preventive Maintenance,35.16,Emergency,Plant B,TX-200,Evening,2025-04-26 00:00:00,5,26.57,2.86,3093.13,1711,60,13.7203614,0.12,1545,2656.8,6,0.077638808,2.570671128,79.07142857,Electrical,"Contactor, Capacitor",Corrective,1705,5.891291642,3.728178465,Evening,28.65943713,10080,23475.53836,33555.53836,6378.913354,26.42223946,49036.29693,150,5274.0,7.806146577,3827.845214
MCH022,2025-05-13 00:00:00,168,146.22,87.04,Power Outage,21.78,Emergency,Plant A,TX-100,Night,2025-03-27 00:00:00,2,73.11,3.41,3379.29,1611,50,10.42333638,0.12,1773,2924.4,5,0.090763501,1.966432823,87.03571429,Other,"Valve, Sensor",Preventive,1606,5.2141527,2.878763125,Night,22.25237503,8400,16791.9949,25191.9949,4637.687394,20.54418516,35848.57617,150,3267.0,7.676438434,2751.893879
MCH023,2025-05-13 00:00:00,168,160.82,95.72,,7.18,Unscheduled,Plant B,TX-100,Night,2025-05-01 00:00:00,4,40.2,2.87,3746.52,1691,50,12.79596295,0.12,1052,3216.4,18,0.095103489,2.185853729,95.72619048,Mechanical,Gear,Preventive,1673,4.967474867,2.50154422,Night,26.75400191,8400,21637.97335,30037.97335,4230.111276,20.90188328,45241.01722,150,1077.0,21.87380657,9895.932596
MCH024,2025-05-13 00:00:00,168,122.0,72.62,Gearbox Failure,46.0,Unscheduled,Plant B,TX-100,Night,2025-04-25 00:00:00,4,30.5,1.88,2855.54,1251,50,10.75688616,0.12,1449,2440.0,14,0.097521982,2.447939883,72.61904762,Electrical,Fuse,Corrective,1237,6.714628297,2.738407425,Night,23.87043296,8400,13456.86459,21856.86459,3425.747689,25.72550941,29861.91163,150,6900.0,-7.771440313,-2320.700639
MCH025,2025-05-13 00:00:00,168,156.16,92.95,Electrical Fault,11.84,Emergency,Plant A,TX-100,Night,2025-03-26 00:00:00,4,39.04,1.48,3156.07,2203,50,13.52654853,0.12,1204,3123.2,17,0.070885157,2.210208607,92.95238095,Other,"Sensor, Misc Part",Preventive,2186,3.812982297,3.202809125,Night,28.15217173,8400,29798.98641,38198.98641,7055.788503,21.34851335,62019.23431,150,1776.0,24.16743703,14988.4594
MCH026,2025-05-13 00:00:00,168,141.94,84.49,,26.06,Emergency,Plant A,TX-300,Night,2025-04-06 00:00:00,8,17.74,2.76,3264.34,1712,70,13.84526115,0.12,1125,2838.8,15,0.082908879,2.797645681,84.48809524,Mechanical,"Belt, Bearing",Preventive,1697,6.869158879,3.916455452,Night,29.1390672,11760,23703.08709,35463.08709,6704.971735,26.91416988,49886.08304,150,3909.0,7.63544456,3809.024214
MCH027,2025-05-13 00:00:00,168,133.97,79.74,Operator Delay,34.03,Unscheduled,Plant B,TX-300,Evening,2025-04-27 00:00:00,4,33.49,1.22,2879.61,1959,70,11.86188004,0.12,1746,2679.4,13,0.068386932,2.459164204,79.74404762,Electrical,Contactor,Preventive,1946,6.003062787,2.65329043,Evening,25.81299635,11760,23237.42299,34997.42299,5197.795951,23.12389941,50567.65984,150,5104.5,10.41760864,5267.940902
MCH028,2025-05-13 00:00:00,168,132.18,78.68,Preventive Maintenance,35.82,Emergency,Plant B,TX-200,Night,2025-04-25 00:00:00,4,33.04,1.72,2729.65,1787,60,13.51628592,0.12,1042,2643.6,14,0.073967543,2.668398969,78.67857143,Electrical,"Relay, Contactor",Corrective,1773,5.640738668,3.781314662,Night,25.99846343,10080,24153.60294,34233.60294,6757.2093,25.94505442,46459.25415,150,5373.0,0.205431433,95.44191174
MCH029,2025-05-13 00:00:00,168,150.02,89.29,Operator Delay,17.98,Unscheduled,Plant B,TX-200,Night,2025-03-22 00:00:00,1,150.02,1.56,3602.94,1785,60,10.02058068,0.12,1751,3000.4,13,0.084044818,2.973644951,89.29761905,Mechanical,Belt,Corrective,1772,5.647058824,3.290536144,Night,23.61737015,10080,17886.73652,27966.73652,5873.607018,20.46910002,42157.00572,150,2697.0,13.33031624,5619.662179
MCH030,2025-05-13 00:00:00,168,131.88,78.5,Electrical Fault,36.12,Unscheduled,Plant A,TX-200,Night,2025-04-18 00:00:00,2,65.94,1.24,2643.16,1796,60,13.27978767,0.12,1970,2637.6,19,0.073429844,2.615484532,78.5,Mechanical,"Gear, Belt",Corrective,1777,5.61247216,3.738881149,Night,28.95151927,10080,23850.49865,33930.49865,6715.030543,25.64784476,51996.92862,150,5418.0,11.41105749,5933.399418
MCH031,2025-05-13 00:00:00,168,159.57,94.98,Operator Delay,8.43,Emergency,Plant C,TX-200,Morning,2025-03-21 00:00:00,3,53.19,2.44,3921.91,1803,60,10.91450065,0.12,1882,3191.4,13,0.088502496,2.673070869,94.98214286,Mechanical,Bearing,Corrective,1790,5.590682196,2.947561646,Morning,24.63638317,10080,19678.84466,29758.84466,5314.453649,20.1540756,44419.39886,150,1264.5,18.19385393,8081.600547
MCH032,2025-05-13 00:00:00,168,165.02,98.23,Gearbox Failure,2.98,Emergency,Plant B,TX-200,Morning,2025-04-19 00:00:00,1,165.02,2.48,3475.78,1927,60,13.63480524,0.12,1110,3300.4,10,0.085635703,2.628917085,98.22619048,Electrical,Contactor,Corrective,1917,5.230928905,3.759920747,Morning,29.84684557,10080,26274.26969,36354.26969,7245.367279,22.85762168,57514.87141,150,447.0,23.41696001,13468.23444
MCH033,2025-05-13 00:00:00,168,164.97,98.19,Operator Delay,3.03,Scheduled,Plant A,TX-100,Night,2025-05-05 00:00:00,3,54.99,2.63,3911.88,2145,50,10.00448045,0.12,1760,3299.4,19,0.076909091,2.257545252,98.19642857,Electrical,Relay,Corrective,2126,3.916083916,3.65923417,Night,25.43857877,8400,21459.61056,29859.61056,7849.057295,17.79168664,54565.75147,150,454.5,30.06021758,16402.58362
MCH034,2025-05-13 00:00:00,168,132.2,78.69,Operator Delay,35.8,Emergency,Plant C,TX-300,Evening,2025-04-21 00:00:00,1,132.2,2.48,3083.52,1723,70,12.22472694,0.12,1662,2644.0,12,0.07672664,2.174893668,78.69047619,Other,"Valve, Sensor",Corrective,1711,6.825304701,2.845080525,Evening,24.75623101,11760,21063.20452,32823.20452,4902.073744,25.01176916,42654.98603,150,5370.0,-1.032217505,-440.2922327
MCH035,2025-05-13 00:00:00,168,138.51,82.45,Preventive Maintenance,29.49,Scheduled,Plant B,TX-200,Morning,2025-03-31 00:00:00,3,46.17,2.13,3034.89,1435,60,13.02654322,0.12,1182,2770.2,18,0.096522648,3.299294794,82.44642857,Software,HMI Panel,Preventive,1417,7.024390244,2.69700269,Morning,28.19812586,10080,18693.08951,28773.08951,3870.19886,25.83051455,40464.31061,150,4423.5,8.396342808,3397.522233
MCH036,2025-05-13 00:00:00,168,140.18,83.44,Power Outage,27.82,Emergency,Plant C,TX-300,Night,2025-04-05 00:00:00,2,70.09,3.88,3071.85,1504,70,11.03475332,0.12,1847,2803.6,15,0.093204787,2.715110445,83.44047619,Mechanical,"Gear, Bearing",Preventive,1489,7.819148936,3.802081484,Night,26.41908979,11760,16596.269,28356.269,5718.330552,25.43058481,39734.31104,150,4173.0,3.741631492,1486.711495
MCH037,2025-05-13 00:00:00,168,166.05,98.84,Electrical Fault,1.95,Scheduled,Plant B,TX-100,Evening,2025-04-17 00:00:00,6,27.67,2.95,3580.12,1695,50,10.77253146,0.12,1094,3321.0,19,0.097964602,1.988706311,98.83928571,Electrical,Relay,Corrective,1676,4.955752212,3.94485498,Evening,25.74455436,8400,18259.44082,26659.44082,6686.529191,19.84570502,43637.01964,150,292.5,22.91299843,9998.549624
MCH038,2025-05-13 00:00:00,168,149.26,88.84,Power Outage,18.74,Emergency,Plant B,TX-200,Night,2025-04-04 00:00:00,1,149.26,2.38,3040.67,1981,60,10.3363929,0.12,1970,2985.2,17,0.075345785,2.496495396,88.8452381,Electrical,"Fuse, Capacitor",Preventive,1964,5.088339223,2.546953471,Night,23.93248798,10080,20476.39433,30556.39433,5045.514825,19.3906659,47410.25868,150,2811.0,18.97764276,8997.349526
MCH039,2025-05-13 00:00:00,168,165.73,98.65,Power Outage,2.27,Unscheduled,Plant C,TX-200,Evening,2025-04-26 00:00:00,2,82.86,4.04,3606.91,1673,60,11.30573431,0.12,1373,3314.6,5,0.099061566,2.160696963,98.64880952,Mechanical,"Shaft, Bearing",Preventive,1668,6.025104603,3.5969051,Evening,26.5506465,10080,18914.49349,28994.49349,6017.622233,21.13127061,44419.23159,150,340.5,20.41146489,9066.61586
MCH040,2025-05-13 00:00:00,168,162.07,96.47,Gearbox Failure,5.93,Unscheduled,Plant C,TX-200,Evening,2025-03-18 00:00:00,2,81.04,2.24,3638.17,2271,60,12.23937725,0.12,1911,3241.4,14,0.071365037,3.367383648,96.4702381,Software,Firmware Chip,Corrective,2257,4.438573316,3.864286766,Evening,25.95250034,10080,27795.62573,37875.62573,8775.795247,20.93391501,58938.12827,150,889.5,19.3375793,11397.20729
MCH041,2025-05-13 00:00:00,168,122.07,72.66,Power Outage,45.93,Scheduled,Plant A,TX-300,Night,2025-04-20 00:00:00,3,40.69,3.28,2912.93,1449,70,10.46337543,0.12,1519,2441.4,8,0.084244306,1.515068726,72.66071429,Mechanical,"Shaft, Belt",Preventive,1441,8.115942029,3.786040138,Night,21.56925355,11760,15161.43099,26921.43099,5485.97216,27.12001598,31253.84839,150,6889.5,-25.73460608,-8043.054767
MCH042,2025-05-13 00:00:00,168,164.49,97.91,Electrical Fault,3.51,Scheduled,Plant C,TX-200,Morning,2025-03-19 00:00:00,3,54.83,2.5,3456.06,2231,60,11.50678145,0.12,1899,3289.8,5,0.073729269,1.950665595,97.91071429,Software,HMI Panel,Preventive,2226,4.518153294,3.946780708,Morning,25.87385378,10080,25671.62941,35751.62941,8805.26776,20.20770828,57724.56779,150,526.5,21.89911697,12641.17062
MCH043,2025-05-13 00:00:00,168,166.17,98.91,Preventive Maintenance,1.83,Scheduled,Plant A,TX-100,Evening,2025-05-01 00:00:00,2,83.08,1.84,3830.73,1712,50,10.03628962,0.12,1359,3323.4,12,0.097061916,2.230713639,98.91071429,Electrical,"Contactor, Capacitor",Preventive,1700,4.906542056,3.640141118,Evening,20.71105926,8400,17182.12783,25582.12783,6231.921593,18.74331158,35457.33346,150,274.5,9.500951453,3368.784038
MCH044,2025-05-13 00:00:00,168,155.57,92.6,Power Outage,12.43,Scheduled,Plant A,TX-100,Morning,2025-04-30 00:00:00,0,69.50297872,3.105957447,3446.84,1694,50,13.27471768,0.12,1899,3111.4,5,0.091835891,2.475619602,92.60119048,Software,"HMI Panel, PLC Module",Preventive,1689,4.958677686,3.163448144,Morning,27.33788347,8400,22487.37175,30887.37175,5358.881155,22.49749286,46310.37459,150,1864.5,17.70579866,8199.621681
MCH045,2025-05-13 00:00:00,168,137.57,81.88,Gearbox Failure,30.43,Scheduled,Plant A,TX-200,Evening,2025-03-30 00:00:00,1,137.57,4.26,3167.41,1603,60,10.51379487,0.12,1695,2751.4,7,0.085820337,3.201635036,81.88690476,Other,"Misc Part, Valve",Preventive,1596,6.288209607,2.967927986,Evening,23.75633309,10080,16853.61318,26933.61318,4757.588561,22.61740595,38081.40195,150,4564.5,4.794204296,1825.700208
MCH046,2025-05-13 00:00:00,168,159.73,95.08,Electrical Fault,8.27,Scheduled,Plant C,TX-300,Evening,2025-05-04 00:00:00,2,79.86,1.2,3519.06,2250,70,11.13337179,0.12,1280,3194.6,17,0.070991111,1.675775249,95.07738095,Electrical,Contactor,Corrective,2233,5.226666667,2.981114111,Evening,24.93159484,11760,25050.08653,36810.08653,6707.506749,19.8924859,56096.08838,150,1240.5,20.21173923,11337.9951
MCH047,2025-05-13 00:00:00,168,137.32,81.74,Operator Delay,30.68,Unscheduled,Plant B,TX-100,Evening,2025-04-05 00:00:00,0,69.50297872,3.105957447,2774.42,1831,50,10.07371087,0.12,1194,2746.4,8,0.074997269,3.111729773,81.73809524,Other,"Misc Part, Valve",Corrective,1823,4.587657018,3.586634009,Evening,23.93397027,8400,18444.96461,26844.96461,6567.12687,20.76138257,43823.09957,150,4602.0,13.25558471,5809.008085
MCH048,2025-05-13 00:00:00,168,149.34,88.89,Electrical Fault,18.66,Scheduled,Plant A,TX-200,Morning,2025-03-15 00:00:00,5,29.87,3.21,3472.84,2219,60,11.72896314,0.12,1863,2986.8,19,0.067300586,1.611306979,88.89285714,Mechanical,Bearing,Corrective,2200,4.542586751,3.618755518,Morning,24.76363695,10080,26026.5692,36106.5692,8030.018495,21.1516844,54950.51039,150,2799.0,14.58571111,8014.922698
MCH049,2025-05-13 00:00:00,168,127.4,75.84,Gearbox Failure,40.6,Scheduled,Plant C,TX-200,Evening,2025-04-05 00:00:00,2,63.7,4.83,3052.65,1330,60,13.36048601,0.12,1194,2548.0,19,0.095789474,3.184628071,75.83333333,Mechanical,Bearing,Preventive,1311,7.578947368,2.800538715,Evening,24.69499373,10080,17769.44639,27849.44639,3724.716491,28.31891946,32844.34167,150,6090.0,-14.6747384,-4819.82122
MCH050,2025-05-13 00:00:00,168,143.58,85.47,Electrical Fault,24.42,Emergency,Plant A,TX-100,Evening,2025-04-12 00:00:00,1,143.58,4.13,3110.78,1509,50,11.56860485,0.12,1666,2871.6,19,0.095149105,1.603270956,85.46428571,Mechanical,"Belt, Bearing",Corrective,1490,5.566600398,3.80218422,Evening,25.56643638,8400,17457.02471,25857.02471,5737.495988,23.36482485,38579.75249,150,3663.0,8.611335162,3322.231792
MCH_IDEAL,2025-05-13 00:00:00,168,168.0,100.0,,0.0,Scheduled,Plant A,TX-300,Morning,2025-05-01 00:00:00,0,69.50297872,3.105957447,4100.0,2500,70,10.71798929,0.12,1000,2000.0,0,0.0672,1.0,100.0,Software,,,2500,4.704,4.01238606,Morning,24.08278534,11760,26794.97323,38554.97323,3340.412543,16.75815431,60206.96335,150,0.0,30.4143849,18311.57757
MCH_999,2025-05-13 00:00:00,168,20.0,11.9,Gearbox Failure,148.0,Emergency,Plant B,TX-100,Evening,2025-01-01 00:00:00,7,2.0,24.0,1500.0,100,50,13.01479534,0.12,1671,4000.0,30,0.2,5.0,11.9047619,Electrical,"Fuse, Capacitor",Preventive,70,84.0,33.40412543,Evening,25.49121652,8400,1301.479534,9701.479534,10030.96515,419.3244468,2549.121652,150,22200.0,-1544.976208,-39383.32303
MCH031,2025-05-13,168,122.07,98.23,Power Outage,36.12,Unscheduled,Plant A,TX-200,Morning,2025-03-18,4,46.35,4.83,3423.11,1727,60,10.98114213,0.12,1080,2548.0,7,0.068386932,2.208293342,86.44047619,Other,"Fuse, Capacitor",Corrective,1773,84.0,3.471360465,Evening,27.33788347,8400,26794.97323,32501.85209,5358.881155,24.0726426,54834.50037,150,526.5,8.611335162,5619.662179
MCH028,2025-05-13,168,141.94,85.12,Electrical Fault,12.43,Scheduled,Plant C,TX-200,Night,2025-05-05,3,136.23,2.86,2729.65,1727,50,12.06431608,0.12,1847,2986.8,19,0.099061566,1.795478184,80.10119048,Software,Fuse,Preventive,2257,3.812982297,2.800538715,Night,28.65943713,10080,23237.42299,38554.97323,5718.330552,19.80387447,43637.01964,150,2811.0,-25.73460608,95.44191174
MCH006,2025-05-13,168,132.2,81.74,Operator Delay,1.63,Scheduled,Plant C,TX-300,Evening,2025-04-27,2,31.05,1.71,2855.54,1673,60,10.00448045,0.12,1105,2441.4,19,0.0890374,1.766233857,83.44047619,Software,"Contactor, Capacitor",Corrective,2200,7.37920937,3.759920747,Night,25.8075803,8400,30953.3345,24338.13785,6017.622233,21.06372417,55629.08308,150,0.0,8.611335162,10186.95389
MCH011,2025-05-13,168,166.17,81.88,Operator Delay,35.8,Scheduled,Plant C,TX-300,Evening,2025-05-03,2,75.34,3.28,3456.06,1270,50,10.42333638,0.12,1695,3194.6,6,0.09780315,2.973644951,95.07738095,Mechanical,HMI Panel,Preventive,2212,8.848758465,2.738407425,Evening,24.63638317,11760,24153.60294,9701.479534,4230.111276,21.34851335,38579.75249,150,5104.5,15.48688494,1486.711495
MCH033,2025-05-13,168,168.0,73.19,Preventive Maintenance,19.8,Unscheduled,Plant B,TX-200,Night,2025-05-02,3,75.34,2.79,4034.79,1270,70,11.30573431,0.12,1449,2981.6,30,0.099061566,2.570671128,72.61904762,Other,"Fuse, Capacitor",Preventive,1647,6.714628297,3.920946832,Morning,25.99846343,10080,21654.26082,30320.68288,5485.97216,20.20770828,56776.67665,150,3750.0,24.31320561,3827.845214
MCH015,2025-05-13,168,160.82,97.91,Power Outage,24.42,Scheduled,Plant B,TX-200,Morning,2025-03-18,3,33.27,2.95,3167.41,1712,50,13.84848789,0.12,1068,2441.4,0,0.07336087,2.628917085,78.69047619,Electrical,Fuse,Corrective,1668,84.0,3.514078386,Evening,28.65943713,10080,25671.62941,36106.5692,6559.700543,16.75815431,31253.84839,150,22200.0,9.500951453,3827.845214
